Kneighbors,LinearSVC,LogisticRegression,MultinomialNB,DummyClassifierFrequent,DummyClassifierRandom
0.475308926,0.662192799,0.605528468,0.643526633,0.290462627,0.010484587
0.463012769,0.647584804,0.634397512,0.618285787,0.009069488,0.010484587
0.48173409,0.670772646,0.629540173,0.651491367,0.001921122,0.001921122
0.480093352,0.654881876,0.6416697,0.623233704,0.001921122,0.001921122
