LinearSVC_OvO,LinearSVC_OvR,Dummy_OvO,Dummy_OvR,LinearSVC_OvO_Over,LinearSVC_OvR_Over,Dummy_OvO_Over,Dummy_OvR_Over
0.685825329,0.694193888,0.010484587,0.001921122,0.667931459,0.671380034,0.010484587,0.001921122
0.685825329,0.694193888,0.010484587,0.001921122,0.669446162,0.671410471,0.010484587,0.001921122
0.685825329,0.694193888,0.010484587,0.001921122,0.668574469,0.669508985,0.010484587,0.001921122
0.685825329,0.694273384,0.010484587,0.001921122,0.669010169,0.670019862,0.010484587,0.001921122
0.685825329,0.694273384,0.010484587,0.001921122,0.668397412,0.670861543,0.010484587,0.001921122
0.685825329,0.694193888,0.010484587,0.001921122,0.667571229,0.669288866,0.010484587,0.001921122
0.685825329,0.694193888,0.010484587,0.001921122,0.669070318,0.669951233,0.010484587,0.001921122
0.685825329,0.694193888,0.010484587,0.001921122,0.66870314,0.66943707,0.010484587,0.001921122
0.685825329,0.694193888,0.010484587,0.001921122,0.667579273,0.669741031,0.010484587,0.001921122
0.685825329,0.694273384,0.010484587,0.001921122,0.669404194,0.668887196,0.010484587,0.001921122
